experiment,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high,recall_p90_mean,recall_p90_ci_low,recall_p90_ci_high,n_iter_effective
E0_old,0.6419766321200607,0.6204334878747122,0.6633850618988144,0.1978115338718157,0.0749981635651322,0.2878974357968808,1000
E0_canon,0.6586279524151789,0.6372891644186177,0.680027984122264,0.1864560177644661,0.0860783918923453,0.2774396277981354,1000
E2,0.6479605768764117,0.6270867744515422,0.6690176560985489,0.1449405502257286,0.0633193335295058,0.203644085163653,1000
E3,0.6528650898416593,0.6310218392958546,0.6739229337825378,0.1353430915572406,0.0703339807664977,0.2209426798869218,1000
E4_TFIDF,0.4542271150767031,0.4297424127592646,0.4764172641940957,0.0010017264075939,0.0,0.0054742204929053,1000
E4b_CLIP_naive,0.5824757400321936,0.558026033083999,0.6066185558027727,0.0233192501211195,0.003086221804154,0.0538116843357678,1000
E5_CLIP_PCA_25,0.6723036125450286,0.6521665439688652,0.692598426952876,0.2888435523531514,0.2153927055896985,0.3353175666527512,1000
E6_spw=15,0.6541222552821275,0.6335464842566001,0.6750319416465881,0.2121720646329,0.1402756004151902,0.3086038616503957,1000
E6_spw=25,0.6528490941985662,0.6322233920269796,0.6742094048760578,0.1953597490574615,0.1167593401886415,0.2493800163086743,1000
E6_spw=35,0.6506136526113292,0.6304279712288912,0.6722020772868896,0.1885761076822503,0.1192124914394085,0.2752329333992661,1000
E6_spw=50,0.6338081741980021,0.6122589460400183,0.6552949383937092,0.1426545225952009,0.0559384535342314,0.2482065997130559,1000
E7_text_e5small_PCA25,0.6659410342514259,0.6453698894087417,0.6867996303362465,0.3196746937885426,0.2557075630767344,0.3572129907508835,1000
