metric,class,value,block,linked_experiment
description_length,0.0,357.307988,A_lengths_chars,E0
description_length,1.0,402.00664,A_lengths_chars,E0
name_length,0.0,70.91926,A_lengths_chars,E0
name_length,1.0,55.300595,A_lengths_chars,E0
brand_length,0.0,4.61535,A_lengths_chars,E0
brand_length,1.0,3.097109,A_lengths_chars,E0
description_words,0.0,43.358807,A_lengths_words,E0
description_words,1.0,50.304191,A_lengths_words,E0
name_words,0.0,10.652982,A_lengths_words,E0
name_words,1.0,7.774243,A_lengths_words,E0
brand_words,0.0,0.739476,A_lengths_words,E0
brand_words,1.0,0.536727,A_lengths_words,E0
mannwhitney_p_description_length,,0.0,A_mw_significance,E0
mannwhitney_p_name_length,,0.0,A_mw_significance,E0
mannwhitney_p_brand_length,,0.0,A_mw_significance,E0
mannwhitney_p_description_words,,0.0,A_mw_significance,E0
mannwhitney_p_name_words,,0.0,A_mw_significance,E0
mannwhitney_p_brand_words,,0.0,A_mw_significance,E0
has_description,0.0,0.874485,B_fillness,E0
has_description,1.0,0.861392,B_fillness,E0
has_brand,0.0,0.605874,B_fillness,E0
has_brand,1.0,0.431595,B_fillness,E0
has_name,0.0,1.0,B_fillness,E0
has_name,1.0,1.0,B_fillness,E0
brand_counterfeit_rate__Econ,1.0,1.0,C_brands,E0+E4a
brand_counterfeit_rate__Mivis,1.0,0.978208,C_brands,E0+E4a
brand_counterfeit_rate__ARIA,1.0,0.936508,C_brands,E0+E4a
token_ratio__authentic,,416.0,D_suspicious_tokens,E4a+Deng
token_ratio__подлинный,,6.87,D_suspicious_tokens,E4a+Deng
token_ratio__оригинальный,,1.45,D_suspicious_tokens,E4a+Deng
token_ratio__гарантия подлинности,,1.0,D_suspicious_tokens,E4a+Deng
token_ratio__original,,0.79,D_suspicious_tokens,E4a+Deng
token_ratio__оригинал,,0.78,D_suspicious_tokens,E4a+Deng
token_ratio__100%,,0.72,D_suspicious_tokens,E4a+Deng
token_ratio__лицензионный,,0.01,D_suspicious_tokens,E4a+Deng
tfidf_top_class1__mivis,1.0,7.4451,E_tfidf_top,E4a
tfidf_top_class1__батарейка,1.0,6.5746,E_tfidf_top,E4a
tfidf_top_class1__кт,1.0,5.5972,E_tfidf_top,E4a
tfidf_top_class1__белый,1.0,5.4148,E_tfidf_top,E4a
tfidf_top_class1__роутер,1.0,5.3077,E_tfidf_top,E4a
tfidf_top_class0__для xiaomi,0.0,-9.2776,E_tfidf_top,E4a
tfidf_top_class0__игра,0.0,-6.6247,E_tfidf_top,E4a
tfidf_top_class0__для,0.0,-6.1375,E_tfidf_top,E4a
tfidf_top_class0__xiaomi,0.0,-5.6961,E_tfidf_top,E4a
tfidf_top_class0__gps,0.0,-5.56,E_tfidf_top,E4a
brand_name_fuzzy_mean,0.0,0.1195,F_fuzzy,E4a+Deng
brand_name_fuzzy_mean,1.0,0.1874,F_fuzzy,E4a+Deng
